title,speaker_name,speaker_company,speaker_bio,track_name,track_color,start_time,end_time,day,tags,abstract
React Server Components: The Execution Model Deep Dive,Dan Abramov,Bluesky,Former React core team member currently working on Bluesky social network architectures.,Track A: React & Core Architecture,#8B5CF6,2026-06-12T09:30:00Z,2026-06-12T10:15:00Z,1,"react,server-components,rendering,performance","Let's trace React Server Components from the initial request to the React fiber tree mounting in the browser. We explore how RSC payloads are serialized, streamed over HTTP, and merged into the client-side state without losing DOM state."
Building at the Edge: Serverless Compute Architectures,Guillermo Rauch,Vercel,CEO of Vercel creator of Next.js passionate about serverless rendering and edge network deployment.,Track B: Devtools AI & Performance,#06B6D4,2026-06-12T09:30:00Z,2026-06-12T10:15:00Z,1,"edge-compute,serverless,infrastructure,performance","Serverless execution at CDN edge nodes promised zero latency but database roundtrips still limit real-world applications. We outline modern edge computing patterns cold start mitigations and transactional consistency."
The Zero-Runtime CSS Revolution: Compiler-First Styles,Sophie Alpert,Vercel,Former React core team manager expert in frontend performance and compiler optimizations.,Track A: React & Core Architecture,#8B5CF6,2026-06-12T10:30:00Z,2026-06-12T11:15:00Z,1,"css,performance,compilers,design-systems","CSS-in-JS runtimes introduced significant styling flexibility but burdened the main thread with style evaluations. This talk demonstrates compiler-first CSS approaches that extract static styles into pure stylesheets."
Web Platform Features You Aren't Using (But Should),Una Kravets,Google,Developer Advocate for Chrome Design specializing in modern CSS Layouts Web APIs and design systems.,Track B: Devtools AI & Performance,#06B6D4,2026-06-12T10:30:00Z,2026-06-12T11:15:00Z,1,"css,web-apis,accessibility,design-systems","Modern browsers support advanced layout engines container queries and native popovers that render heavy JavaScript libraries obsolete. We explore CSS anchor positioning native scroll-driven animations and dialog elements."
AI-First Frontend: Agentic UI Generation and WebMCP,Lee Robinson,Vercel,VP of Developer Experience at Vercel helping developers build a faster web.,Track B: Devtools AI & Performance,#06B6D4,2026-06-12T11:30:00Z,2026-06-12T12:15:00Z,1,"ai,agents,react,dynamic-ui","The next wave of web applications will generate interfaces dynamically based on user needs. We present the Web Model Context Protocol (WebMCP) allowing LLM agents to interact directly with KendoReact UI components as tools."
Deterministic State vs. Agentic Chaos in React Applications,Theo Browne,Ping.gg,CEO of Ping.gg creator of t3-app and tech commentator speaking on modern web stacks.,Track A: React & Core Architecture,#8B5CF6,2026-06-12T11:30:00Z,2026-06-12T12:15:00Z,1,"react,state-management,ai,architecture","When UI is generated dynamically by AI agents traditional state management patterns break down. We explore architectures that balance deterministic UI states with agent-driven dynamic views."
JavaScript Runtimes: Benchmarking Node.js Bun and Deno,Alex Sexton,Stripe,Infrastructure engineer specialized in internationalization security and global payments systems.,Track B: Devtools AI & Performance,#06B6D4,2026-06-12T13:30:00Z,2026-06-12T14:15:00Z,1,"runtimes,performance,backend,nodejs","Is Node.js actually losing the runtime wars? In this comprehensive benchmark we test Node.js 22+ Bun and Deno in serverless environments HTTP routing database connectivity and file system operations."
WebAssembly: Elevating Heavy Calculations Beyond JS Limits,Lin Clark,Fastly,WebAssembly pioneer working on WebAssembly Micro-Runtime (WAMR) and Edge Compute runtimes.,Track B: Devtools AI & Performance,#06B6D4,2026-06-12T14:30:00Z,2026-06-12T15:15:00Z,1,"wasm,performance,rust,computations","JavaScript is fast but image processing compression cryptographic algorithms and canvas renders push V8 to its limits. Learn to write Rust and C++ modules compile them to WebAssembly and load them dynamically in React applications."
React Compiler: Say Goodbye to useMemo and useCallback,Sophie Alpert,Vercel,Former React core team manager expert in frontend performance and compiler optimizations.,Track A: React & Core Architecture,#8B5CF6,2026-06-12T14:30:00Z,2026-06-12T15:15:00Z,1,"react,react-compiler,performance,compilers","The React Compiler automates memoization eliminating manual memo useMemo and useCallback. Sophie shows how the compiler analyzes JS semantics detects dependency changes and optimizes re-renders automatically."
Reactive Compilation: Svelte's Approach to UI Architecture,Rich Harris,Vercel,Creator of Svelte and Rollup focused on compilation in UI design and removing runtime overhead.,Track A: React & Core Architecture,#8B5CF6,2026-06-12T15:30:00Z,2026-06-12T16:15:00Z,1,"svelte,reactivity,compilers,performance","While React relies on virtual DOM diffing and automatic compilation to optimize updates Svelte compiles reactivity directly into JavaScript syntax. Rich Harris contrasts Svelte's compiled reactivity model with React 19."
TypeScript Performance Patterns for Large Codebases,Sarah Drasner,Google,Director of Engineering for Core Developer Web at Google leading Chrome DevTools and Angular UX.,Track B: Devtools AI & Performance,#06B6D4,2026-06-12T15:30:00Z,2026-06-12T16:15:00Z,1,"typescript,performance,tooling,dx","TypeScript type-checking can slow CI pipelines and IDE responsiveness in large monorepos. This talk covers incremental compilation strategies project references const enums vs regular enums and conditional types."
The Future of Streaming: Suspense PPR and Partial Hydration,Dan Abramov,Bluesky,Former React core team member currently working on Bluesky social network architectures.,Track A: React & Core Architecture,#8B5CF6,2026-06-13T09:30:00Z,2026-06-13T10:15:00Z,2,"react,nextjs,streaming,ssr","Next.js Partial Prerendering (PPR) combines static shells with dynamic streaming slots. Dan dives deep into how Suspense boundaries interact with RSC streaming how PPR differs from Islands Architecture."
Modern Monorepo Architecture with Turborepo,Lee Robinson,Vercel,VP of Developer Experience at Vercel helping developers build a faster web.,Track B: Devtools AI & Performance,#06B6D4,2026-06-13T09:30:00Z,2026-06-13T10:15:00Z,2,"monorepo,tooling,architecture,dx","Turborepo caches build artifacts across machines but the real value is the architectural discipline it enforces. We walk through setting up a Next.js monorepo with shared packages isolated component libraries and versioned API clients."
Signals vs. VDOM: A Framework War Analysis,Rich Harris,Vercel,Creator of Svelte and Rollup focused on compilation in UI design and removing runtime overhead.,Track A: React & Core Architecture,#8B5CF6,2026-06-13T10:30:00Z,2026-06-13T11:15:00Z,2,"signals,react,performance,frameworks","Fine-grained reactivity via Signals versus coarse-grained Virtual DOM reconciliation represent two fundamentally different philosophies. We benchmark real-world scenarios and discuss where each model shines."
Micro-Frontends at Scale: Module Federation 2.0,Guillermo Rauch,Vercel,CEO of Vercel creator of Next.js passionate about serverless rendering and edge network deployment.,Track B: Devtools AI & Performance,#06B6D4,2026-06-13T10:30:00Z,2026-06-13T11:15:00Z,2,"micro-frontends,module-federation,architecture,scalability","Module Federation 2.0 introduces dynamic remote containers better TypeScript support and manifest-driven discovery. We show how large enterprise teams use MFE to allow 50+ squads to deploy independently."
